bananapim3/Focal_current_nightly.asc|bananapim3/nightly/Armbian_21.02.0-trunk.2_Bananapim3_focal_current_5.9.11.img.xz.asc|Nov 26 2020|1M
bananapim3/Focal_current_nightly.sha|bananapim3/nightly/Armbian_21.02.0-trunk.2_Bananapim3_focal_current_5.9.11.img.xz.sha|Nov 26 2020|1M
bananapim3/Focal_current.sha|bananapim3/archive/Armbian_20.11_Bananapim3_focal_current_5.8.16.img.xz.sha|Nov 25 2020|1M
bananapim3/Focal_current.torrent|bananapim3/archive/Armbian_20.11_Bananapim3_focal_current_5.8.16.img.xz.torrent|Nov 28 2020|1M
bananapim64/Bionic_current_minimal|bananapim64/archive/Armbian_20.11_Bananapim64_bionic_current_5.8.16_minimal.img.xz|Nov 25 2020|172M
bananapim64/Bionic_current_minimal.asc|bananapim64/archive/Armbian_20.11_Bananapim64_bionic_current_5.8.16_minimal.img.xz.asc|Nov 25 2020|1M
bananapim64/Bionic_current_minimal.sha|bananapim64/archive/Armbian_20.11_Bananapim64_bionic_current_5.8.16_minimal.img.xz.sha|Nov 25 2020|1M
bananapim64/Bionic_current_minimal.torrent|bananapim64/archive/Armbian_20.11_Bananapim64_bionic_current_5.8.16_minimal.img.xz.torrent|Nov 28 2020|1M
bananapim64/Bullseye_current|bananapim64/archive/Armbian_20.11_Bananapim64_bullseye_current_5.8.16.img.xz|Nov 25 2020|575M
bananapim64/Bullseye_current.asc|bananapim64/archive/Armbian_20.11_Bananapim64_bullseye_current_5.8.16.img.xz.asc|Nov 25 2020|1M
bananapim64/Bullseye_current.sha|bananapim64/archive/Armbian_20.11_Bananapim64_bullseye_current_5.8.16.img.xz.sha|Nov 25 2020|1M
bananapim64/Bullseye_current.torrent|bananapim64/archive/Armbian_20.11_Bananapim64_bullseye_current_5.8.16.img.xz.torrent|Nov 28 2020|1M
bananapim64/Buster_current_minimal|bananapim64/archive/Armbian_20.11_Bananapim64_buster_current_5.8.16_minimal.img.xz|Nov 25 2020|180M
bananapim64/Buster_current_minimal.asc|bananapim64/archive/Armbian_20.11_Bananapim64_buster_current_5.8.16_minimal.img.xz.asc|Nov 25 2020|1M
bananapim64/Buster_current_minimal.sha|bananapim64/archive/Armbian_20.11_Bananapim64_buster_current_5.8.16_minimal.img.xz.sha|Nov 25 2020|1M
bananapim64/Buster_current_minimal.torrent|bananapim64/archive/Armbian_20.11_Bananapim64_buster_current_5.8.16_minimal.img.xz.torrent|Nov 28 2020|1M
bananapim64/Buster_current_nightly|bananapim64/nightly/Armbian_21.02.0-trunk.2_Bananapim64_buster_current_5.9.11.img.xz|Nov 26 2020|400M
bananapim64/Buster_current_nightly.asc|bananapim64/nightly/Armbian_21.02.0-trunk.2_Bananapim64_buster_current_5.9.11.img.xz.asc|Nov 26 2020|1M
bananapim64/Buster_current_nightly.sha|bananapim64/nightly/Armbian_21.02.0-trunk.2_Bananapim64_buster_current_5.9.11.img.xz.sha|Nov 26 2020|1M
bananapim64/Focal_current|bananapim64/archive/Armbian_20.11_Bananapim64_focal_current_5.8.16.img.xz|Nov 25 2020|291M
bananapim64/Focal_current.asc|bananapim64/archive/Armbian_20.11_Bananapim64_focal_current_5.8.16.img.xz.asc|Nov 25 2020|1M
bananapim64/Focal_current_desktop|bananapim64/archive/Armbian_20.11_Bananapim64_focal_current_5.8.16_desktop.img.xz|Nov 25 2020|579M
bananapim64/Focal_current_desktop.asc|bananapim64/archive/Armbian_20.11_Bananapim64_focal_current_5.8.16_desktop.img.xz.asc|Nov 25 2020|1M
bananapim64/Focal_current_desktop.sha|bananapim64/archive/Armbian_20.11_Bananapim64_focal_current_5.8.16_desktop.img.xz.sha|Nov 25 2020|1M
bananapim64/Focal_current_desktop.torrent|bananapim64/archive/Armbian_20.11_Bananapim64_focal_current_5.8.16_desktop.img.xz.torrent|Nov 28 2020|1M
bananapim64/Focal_current_nightly|bananapim64/nightly/Armbian_21.02.0-trunk.2_Bananapim64_focal_current_5.9.11.img.xz|Nov 26 2020|290M
bananapim64/Focal_current_nightly.asc|bananapim64/nightly/Armbian_21.02.0-trunk.2_Bananapim64_focal_current_5.9.11.img.xz.asc|Nov 26 2020|1M
